Ligand,1A0J,1BIT,1HJ8,1MBQ,1PPZ,1PQA,1TRY,1UTJ,1UTM,2A31,2FPZ,3PTB,5PTP,eA,XGB,Predicted probability,Prediction source model
ligand_1A0J,-7.229,0.0,0.0,0.0,0.0,0.0,0.0,-4.166,0.0,0.0,-5.451,0.0,0.0,-1.2958461538461539,0.0,0.5714285969734192,1.0
ligand_1BIT,0.0,-7.229,-7.229,0.0,0.0,0.0,0.0,0.0,-3.277,0.0,0.0,0.0,0.0,-1.3642307692307691,0.0,0.5714285969734192,1.0
ligand_1HJ8,0.0,-4.346,-7.229,0.0,0.0,0.0,0.0,0.0,-2.809,-1.543,0.0,0.0,0.0,-1.225153846153846,0.0,0.5714285969734192,1.0
ligand_1MBQ,-0.2027,0.0,0.0,-7.229,-4.675,-4.488,0.0,-2.007,0.0,-3.664,-1.6,-4.442,-5.151,-2.5737461538461543,0.0,0.5714285969734192,1.0
ligand_1PQA,0.0,0.0,0.0,-5.498,-5.92,-7.229,-1.74,0.0,0.0,-2.046,0.0,-4.791,-3.961,-2.3988461538461534,0.0,0.5714285969734192,2.0
ligand_1TRY,0.0,0.0,0.0,-1.275,-1.426,-1.607,-7.229,0.0,0.0,0.0,0.0,-1.463,-0.7879,-1.0606076923076924,0.0,0.5714285969734192,2.0
ligand_1UTJ,-5.253,0.0,0.0,-1.798,0.0,0.0,0.0,-7.229,0.0,0.0,-4.938,-1.537,-2.29,-1.7726923076923076,0.0,0.5714285969734192,2.0
ligand_1UTM,0.0,-0.4582,-0.1805,0.0,0.0,0.0,0.0,0.0,-7.229,0.0,0.0,0.0,0.0,-0.6052076923076923,0.0,0.5714285969734192,3.0
ligand_3PTB,0.0,0.0,0.0,-4.152,-6.182,-5.283,-3.797,0.0,0.0,0.0,0.0,-7.229,-4.025,-2.359076923076923,0.0,0.5714285969734192,3.0
ligand_5PTP,-0.5653,0.0,0.0,-5.129,-3.631,-3.578,0.0,-0.3352,0.0,-5.67,-0.1657,-4.072,-7.229,-2.336553846153846,0.0,0.5714285969734192,3.0
