Ligand,3PXF,3PXY,3PXZ,3PY0,3QQF,3QQJ,3QQL,3QRT,3QWJ,3QWK,3QX2,3QXO,3QZG,3QZI,3R1Q,3R1S,3R1Y,3R28,3R6X,3R71,3R73,3R7U,3R83,3R8M,3R8P,3RAI,3RM6,3ROY,3RPO,5MHQ
ligand_3PXF,-9.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligand_3PXY,0.0,-9.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligand_3PXZ,-2.28,0.0,-9.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligand_3PY0,0.0,0.0,0.0,-9.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligand_3QQF,0.0,-0.03837,0.0,0.0,-9.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5042,0.0,0.0,0.0,-0.7,-0.5886,-4.394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligand_3QQJ,0.0,0.0,0.0,0.0,0.0,-9.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligand_3QRT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.713,0.0,0.0,0.0,-7.463,-7.178,-0.01385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligand_3QWJ,0.0,0.0,0.0,0.0,0.0,-0.4535,0.0,0.0,-9.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligand_3QWK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ligand_3QX2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
