receptor,ligand_from,rmsd,affinity,status
1XO2,2EUF,,0.0,high_rmsd
1XO2,2F2C,,0.0,high_rmsd
1XO2,3NUP,1.875,0.0,success
1XO2,3NUX,0.754,0.0,success
1XO2,4AUA,1.086,0.0,success
1XO2,4EZ5,1.943,0.0,success
1XO2,4TTH,,0.0,high_rmsd
1XO2,5L2I,0.642,0.0,success
1XO2,5L2S,1.701,0.0,success
1XO2,5L2T,1.2,0.0,success
1XO2,6OQL,1.312,0.0,success
1XO2,6OQO,2.13,0.0,high_rmsd
1XO2,8I0M,1.092,0.0,success
2EUF,1XO2,,0.0,high_rmsd
2EUF,2F2C,,-8.956,high_rmsd
2EUF,3NUP,1.875,0.0,success
2EUF,3NUX,0.754,0.0,success
2EUF,4AUA,1.086,0.0,success
2EUF,4EZ5,1.943,0.0,success
2EUF,4TTH,,0.0,high_rmsd
2EUF,5L2I,0.642,0.0,success
2EUF,5L2S,1.701,0.0,success
2EUF,5L2T,1.2,0.0,success
2EUF,6OQL,1.312,0.0,success
2EUF,6OQO,2.13,0.0,high_rmsd
2EUF,8I0M,1.093,0.0,success
2F2C,1XO2,,0.0,high_rmsd
2F2C,2EUF,,-9.204,high_rmsd
2F2C,3NUP,1.875,0.0,success
2F2C,3NUX,0.754,0.0,success
2F2C,4AUA,1.086,0.0,success
2F2C,4EZ5,1.941,0.0,success
2F2C,4TTH,,0.0,high_rmsd
2F2C,5L2I,0.642,0.0,success
2F2C,5L2S,1.701,0.0,success
2F2C,5L2T,1.201,0.0,success
2F2C,6OQL,1.312,0.0,success
2F2C,6OQO,2.13,0.0,high_rmsd
2F2C,8I0M,1.092,0.0,success
3NUP,1XO2,,0.0,high_rmsd
3NUP,2EUF,,0.0,high_rmsd
3NUP,2F2C,,0.0,high_rmsd
3NUP,3NUX,1.227,-6.793,success
3NUP,4AUA,0.945,-7.379,success
3NUP,4EZ5,1.709,-6.878,success
3NUP,4TTH,,-0.01906,high_rmsd
3NUP,5L2I,1.372,-6.684,success
3NUP,5L2S,1.225,-9.141,success
3NUP,5L2T,1.326,-8.582,success
3NUP,6OQL,0.436,-9.392,success
3NUP,6OQO,1.515,-9.138,success
3NUP,8I0M,1.088,-3.942,success
3NUX,1XO2,,0.0,high_rmsd
3NUX,2EUF,,0.0,high_rmsd
3NUX,2F2C,,0.0,high_rmsd
3NUX,3NUP,1.869,-6.605,success
3NUX,4AUA,1.145,-6.234,success
3NUX,4EZ5,1.896,-7.578,success
3NUX,4TTH,,0.0,high_rmsd
3NUX,5L2I,1.238,-10.16,success
3NUX,5L2S,1.905,-7.385,success
3NUX,5L2T,1.149,-6.573,success
3NUX,6OQL,1.427,-7.834,success
3NUX,6OQO,1.336,-7.7,success
3NUX,8I0M,1.093,0.0,success
4AUA,1XO2,,0.0,high_rmsd
4AUA,2EUF,,0.0,high_rmsd
4AUA,2F2C,,0.0,high_rmsd
