receptor,ligand_from,rmsd,affinity,status
1A0J,1BIT,14.208,0.0,high_rmsd
1A0J,1HJ8,18.326,0.0,high_rmsd
1A0J,1MBQ,17.985,-0.2027,high_rmsd
1A0J,1PPZ,,,vina_failed
1A0J,1PQA,11.004,0.0,high_rmsd
1A0J,1TRY,7.012,0.0,high_rmsd
1A0J,1UTJ,10.636,-5.253,high_rmsd
1A0J,1UTM,8.803,0.0,high_rmsd
1A0J,2A31,,,vina_failed
1A0J,2FPZ,,,vina_failed
1A0J,3PTB,3.267,0.0,high_rmsd
1A0J,5PTP,18.151,-0.5653,high_rmsd
1BIT,1A0J,17.035,0.0,high_rmsd
1BIT,1HJ8,16.496,-4.346,high_rmsd
1BIT,1MBQ,6.989,0.0,high_rmsd
1BIT,1PPZ,,,vina_failed
1BIT,1PQA,5.669,0.0,high_rmsd
1BIT,1TRY,9.966,0.0,high_rmsd
1BIT,1UTJ,9.219,0.0,high_rmsd
1BIT,1UTM,16.212,-0.4582,high_rmsd
1BIT,2A31,,,vina_failed
1BIT,2FPZ,,,vina_failed
1BIT,3PTB,7.328,0.0,high_rmsd
1BIT,5PTP,4.736,0.0,high_rmsd
1HJ8,1A0J,11.088,0.0,high_rmsd
1HJ8,1BIT,3.485,-7.229,high_rmsd
1HJ8,1MBQ,6.88,0.0,high_rmsd
1HJ8,1PPZ,,,vina_failed
1HJ8,1PQA,10.424,0.0,high_rmsd
1HJ8,1TRY,6.816,0.0,high_rmsd
1HJ8,1UTJ,7.69,0.0,high_rmsd
1HJ8,1UTM,15.453,-0.1805,high_rmsd
1HJ8,2A31,,,vina_failed
1HJ8,2FPZ,,,vina_failed
1HJ8,3PTB,9.463,0.0,high_rmsd
1HJ8,5PTP,10.205,0.0,high_rmsd
1MBQ,1A0J,14.888,0.0,high_rmsd
1MBQ,1BIT,12.219,0.0,high_rmsd
1MBQ,1HJ8,12.667,0.0,high_rmsd
1MBQ,1PPZ,,,vina_failed
1MBQ,1PQA,13.6,-5.498,high_rmsd
1MBQ,1TRY,16.246,-1.275,high_rmsd
1MBQ,1UTJ,16.562,-1.798,high_rmsd
1MBQ,1UTM,11.334,0.0,high_rmsd
1MBQ,2A31,,,vina_failed
1MBQ,2FPZ,,,vina_failed
1MBQ,3PTB,10.488,-4.152,high_rmsd
1MBQ,5PTP,8.141,-5.129,high_rmsd
1PPZ,1A0J,14.105,0.0,high_rmsd
1PPZ,1BIT,10.105,0.0,high_rmsd
1PPZ,1HJ8,23.198,0.0,high_rmsd
1PPZ,1MBQ,15.987,-4.675,high_rmsd
1PPZ,1PQA,12.414,-5.92,high_rmsd
1PPZ,1TRY,16.651,-1.426,high_rmsd
1PPZ,1UTJ,11.568,0.0,high_rmsd
1PPZ,1UTM,11.654,0.0,high_rmsd
1PPZ,2A31,,,vina_failed
1PPZ,2FPZ,,,vina_failed
1PPZ,3PTB,7.102,-6.182,high_rmsd
1PPZ,5PTP,10.767,-3.631,high_rmsd
1PQA,1A0J,5.612,0.0,high_rmsd
1PQA,1BIT,5.726,0.0,high_rmsd
1PQA,1HJ8,15.79,0.0,high_rmsd
1PQA,1MBQ,16.34,-4.488,high_rmsd
1PQA,1PPZ,,,vina_failed
1PQA,1TRY,15.263,-1.607,high_rmsd
1PQA,1UTJ,5.854,0.0,high_rmsd
1PQA,1UTM,3.788,0.0,high_rmsd
1PQA,2A31,,,vina_failed
1PQA,2FPZ,,,vina_failed
1PQA,3PTB,6.975,-5.283,high_rmsd
1PQA,5PTP,9.975,-3.578,high_rmsd
1TRY,1A0J,19.895,0.0,high_rmsd
1TRY,1BIT,8.106,0.0,high_rmsd
1TRY,1HJ8,17.7,0.0,high_rmsd
1TRY,1MBQ,8.162,0.0,high_rmsd
1TRY,1PPZ,,,vina_failed
1TRY,1PQA,17.053,-1.74,high_rmsd
1TRY,1UTJ,4.749,0.0,high_rmsd
1TRY,1UTM,9.573,0.0,high_rmsd
1TRY,2A31,,,vina_failed
1TRY,2FPZ,,,vina_failed
1TRY,3PTB,10.929,-3.797,high_rmsd
1TRY,5PTP,10.151,0.0,high_rmsd
1UTJ,1A0J,6.092,-4.166,high_rmsd
1UTJ,1BIT,13.28,0.0,high_rmsd
1UTJ,1HJ8,14.09,0.0,high_rmsd
1UTJ,1MBQ,14.595,-2.007,high_rmsd
1UTJ,1PPZ,,,vina_failed
1UTJ,1PQA,10.028,0.0,high_rmsd
1UTJ,1TRY,13.119,0.0,high_rmsd
1UTJ,1UTM,7.784,0.0,high_rmsd
1UTJ,2A31,,,vina_failed
1UTJ,2FPZ,,,vina_failed
1UTJ,3PTB,11.182,0.0,high_rmsd
1UTJ,5PTP,14.024,-0.3352,high_rmsd
1UTM,1A0J,16.198,0.0,high_rmsd
1UTM,1BIT,12.138,-3.277,high_rmsd
1UTM,1HJ8,22.26,-2.809,high_rmsd
1UTM,1MBQ,5.833,0.0,high_rmsd
1UTM,1PPZ,,,vina_failed
1UTM,1PQA,8.133,0.0,high_rmsd
1UTM,1TRY,9.895,0.0,high_rmsd
1UTM,1UTJ,7.816,0.0,high_rmsd
1UTM,2A31,,,vina_failed
1UTM,2FPZ,,,vina_failed
1UTM,3PTB,12.458,0.0,high_rmsd
1UTM,5PTP,6.425,0.0,high_rmsd
2A31,1A0J,13.889,0.0,high_rmsd
2A31,1BIT,14.278,0.0,high_rmsd
2A31,1HJ8,29.847,-1.543,high_rmsd
2A31,1MBQ,17.063,-3.664,high_rmsd
2A31,1PPZ,,,vina_failed
2A31,1PQA,15.921,-2.046,high_rmsd
2A31,1TRY,7.346,0.0,high_rmsd
2A31,1UTJ,5.789,0.0,high_rmsd
2A31,1UTM,10.786,0.0,high_rmsd
2A31,2FPZ,,,vina_failed
2A31,3PTB,7.687,0.0,high_rmsd
2A31,5PTP,16.044,-5.67,high_rmsd
2FPZ,1A0J,21.174,-5.451,high_rmsd
2FPZ,1BIT,7.923,0.0,high_rmsd
2FPZ,1HJ8,18.503,0.0,high_rmsd
2FPZ,1MBQ,15.683,-1.6,high_rmsd
2FPZ,1PPZ,,,vina_failed
2FPZ,1PQA,9.925,0.0,high_rmsd
2FPZ,1TRY,6.193,0.0,high_rmsd
2FPZ,1UTJ,13.174,-4.938,high_rmsd
2FPZ,1UTM,9.833,0.0,high_rmsd
2FPZ,2A31,,,vina_failed
2FPZ,3PTB,8.75,0.0,high_rmsd
2FPZ,5PTP,12.055,-0.1657,high_rmsd
3PTB,1A0J,11.873,0.0,high_rmsd
3PTB,1BIT,10.271,0.0,high_rmsd
3PTB,1HJ8,21.749,0.0,high_rmsd
3PTB,1MBQ,15.225,-4.442,high_rmsd
3PTB,1PPZ,,,vina_failed
3PTB,1PQA,10.317,-4.791,high_rmsd
3PTB,1TRY,15.942,-1.463,high_rmsd
3PTB,1UTJ,18.036,-1.537,high_rmsd
3PTB,1UTM,4.728,0.0,high_rmsd
3PTB,2A31,,,vina_failed
3PTB,2FPZ,,,vina_failed
3PTB,5PTP,10.234,-4.072,high_rmsd
5PTP,1A0J,7.623,0.0,high_rmsd
5PTP,1BIT,11.841,0.0,high_rmsd
5PTP,1HJ8,16.124,0.0,high_rmsd
