strategy,ensemble_size,ensemble_id,pdb_ids,success_rate,mean_rmsd,median_rmsd,num_ligands_tested
bfactor_guided,3,0,7JR1;1YF4;3PTB,0.0,13.152777777777777,11.873,9
bfactor_guided,5,0,7JR1;1YF4;3PTB;1TX6;1XVO,0.0,13.152777777777777,11.873,9
random,2,0,1AVW;1MBQ,0.0,12.905000000000001,12.667,9
random,2,1,5PTP;1YF4,0.0,12.396666666666667,11.908,9
random,2,2,2A31;1AVX,0.0,13.864999999999998,14.0835,10
random,2,3,1XVO;1BIT,0.0,10.405555555555555,9.219,9
random,2,5,1A0J;1TRY,0.0,9.884899999999998,8.482500000000002,10
random,2,7,1A0J;1UTJ,0.0,10.0808,10.332,10
random,2,8,1HJ8;1UTJ,0.0,8.2533,7.737,10
random,2,9,2FPZ;1A0J,0.0,11.398499999999999,10.2805,10
random,2,10,1EPT;1MBQ,0.0,12.905000000000001,12.667,9
random,2,11,1HJ8;5PTP,0.0,8.8477,8.5765,10
random,2,12,1UTM;1XVO,0.0,11.239555555555556,9.895,9
random,2,14,1UTJ;1AVW,0.0,11.577111111111112,13.119,9
random,2,15,3PTB;1UHB,0.0,13.152777777777777,11.873,9
random,2,16,1PQA;1F2S,0.0,9.480333333333332,6.975,9
random,2,18,2A31;1MBQ,0.0,10.9187,11.5025,10
random,2,19,3PTB;1A0J,0.0,10.1889,10.294,10
random,3,0,1AKS;2A31;1TRY,0.0,10.328399999999998,8.8675,10
random,3,1,1PQA;2FPZ;2A31,0.0,8.545599999999999,6.584,10
random,3,2,1F2S;1A0J;1MBQ,0.0,10.662199999999999,10.82,10
random,3,3,1A0J;1AKS;1PQA,0.0,8.436799999999998,6.433,10
random,3,4,1TRY;7JR1;7JR2,0.0,11.813111111111112,10.151,9
random,3,5,1A0J;1SGT;1HJ8,0.0,8.698399999999998,8.246500000000001,10
random,3,6,1TX6;1UTM;1PPZ,0.0,10.3328,9.014,10
random,3,7,1MBQ;1PPZ;1XVO,0.0,11.9669,11.991,10
random,3,8,2A31;1TX6;1A0J,0.0,11.540499999999998,12.4465,10
random,3,9,1TPO;5PTP;1BIT,0.0,8.9262,8.421,10
random,3,10,1A0J;1HJ8;7JR2,0.0,8.698399999999998,8.246500000000001,10
random,3,11,1AVX;1TX6;1TRY,0.0,11.813111111111112,10.151,9
random,3,12,1A0J;1BIT;1TRY,0.0,8.2862,7.0005,10
random,3,13,1PQA;6DWH;7JR2,0.0,9.480333333333332,6.975,9
random,3,14,7JR1;1UTM;7JR2,0.0,11.239555555555556,9.895,9
random,3,15,3PTB;1HJ8;1PQA,0.0,7.549199999999999,6.848,10
random,3,16,2A31;1PPZ;1SGT,0.0,11.7383,10.776499999999999,10
random,3,17,1MBQ;1AVX;1PPZ,0.0,11.9669,11.991,10
random,3,19,1HJ8;1EPT;5PTP,0.0,8.8477,8.5765,10
random,5,0,1TX6;2FPZ;2A31;1SGT;1MBQ,0.0,9.773,8.987,10
random,5,1,1TX6;7JR2;1XVO;1PPZ;1AVX,0.0,13.355100000000002,12.033999999999999,10
random,5,2,1AKS;5PTP;7JR1;1HJ8;1UTJ,0.0,8.2533,7.737,10
random,5,3,1YF4;3PTB;7JR1;1MCT;1TRY,0.0,10.265699999999999,10.234,10
random,5,4,1SGT;1A0J;1AKS;6DWH;1UTM,0.0,9.3951,7.974499999999999,10
random,5,5,1UHB;1BIT;2FPZ;1UTJ;1AVW,0.0,7.602300000000001,7.1585,10
random,5,6,6DWH;7JR2;1TPO;2A31;1EPT,0.0,13.864999999999998,14.0835,10
random,5,7,1UTJ;1EPT;5PTP;1A0J;1TPO,0.0,9.6682,10.332,10
random,5,8,1TPO;1TRY;7JR2;1MCT;1XVO,0.0,11.813111111111112,10.151,9
random,5,9,1TPO;1PQA;5PTP;1AVW;1EPT,0.0,9.309899999999999,8.475,10
random,5,10,1TPO;1UTJ;1TX6;1UHB;1PQA,0.0,8.976199999999999,8.475,10
random,5,11,7JR1;1BIT;1YF4;1XVO;1AKS,0.0,10.405555555555555,9.219,9
random,5,12,1PPZ;6DWH;1UHB;2FPZ;1A0J,0.0,10.5628,10.2805,10
random,5,13,1PQA;1EPT;1SGT;1UHB;1F2S,0.0,9.480333333333332,6.975,9
random,5,14,7JR1;1MBQ;1AVX;1MCT;1PPZ,0.0,11.9669,11.991,10
random,5,15,1TPO;1MBQ;6DWH;5PTP;2FPZ,0.0,9.5779,9.2585,10
random,5,16,1PQA;1TX6;2A31;1UTJ;5PTP,0.0,8.1237,7.1605,10
random,5,17,1HJ8;1YF4;7JR2;2A31;1UHB,0.0,10.300699999999999,8.946,10
random,5,18,5PTP;1TX6;1BIT;1PQA;1EPT,0.0,7.110499999999999,5.79,10
random,5,19,1PQA;1UTM;1TPO;1AVW;1TRY,0.0,7.292599999999998,6.129,10
lowest_bfactor,2,0,1AVX;1UTJ,0.0,11.577111111111112,13.119,9
lowest_bfactor,3,0,1AVX;1UTJ;1MBQ,0.0,11.169500000000001,11.3535,10
lowest_bfactor,5,0,1AVX;1UTJ;1MBQ;1SGT;1AVW,0.0,11.169500000000001,11.3535,10
enopt,2,0,1UTM;2A31,0.0,10.0286,7.91,10
enopt,3,0,1UTM;2A31;2FPZ,0.0,9.020799999999998,7.805,10
enopt,5,0,1UTM;2A31;2FPZ;3PTB;5PTP,0.0,7.645799999999999,7.024,10
