receptor,ligand_from,pocket_ca_rmsd
4Y72,5HQ0,0.0
4Y72,5LQF,0.307
4Y72,6GU2,0.944
4Y72,6GU3,0.35
4Y72,6GU4,0.24
4Y72,6GU6,0.598
4Y72,6GU7,0.743
5HQ0,4Y72,0.0
5HQ0,5LQF,0.307
5HQ0,6GU2,0.944
5HQ0,6GU3,0.35
5HQ0,6GU4,0.24
5HQ0,6GU6,0.598
5HQ0,6GU7,0.743
5LQF,4Y72,0.307
5LQF,5HQ0,0.307
5LQF,6GU2,0.984
5LQF,6GU3,0.306
5LQF,6GU4,0.585
5LQF,6GU6,0.737
5LQF,6GU7,0.762
6GU2,4Y72,0.944
6GU2,5HQ0,0.944
6GU2,5LQF,0.984
6GU2,6GU3,1.09
6GU2,6GU4,0.828
6GU2,6GU6,0.883
6GU2,6GU7,0.599
6GU3,4Y72,0.35
6GU3,5HQ0,0.35
6GU3,5LQF,0.306
6GU3,6GU2,1.09
6GU3,6GU4,0.547
6GU3,6GU6,0.757
6GU3,6GU7,0.714
6GU4,4Y72,0.24
6GU4,5HQ0,0.24
6GU4,5LQF,0.585
6GU4,6GU2,0.828
6GU4,6GU3,0.547
6GU4,6GU6,0.497
6GU4,6GU7,0.713
6GU6,4Y72,0.598
6GU6,5HQ0,0.598
6GU6,5LQF,0.737
6GU6,6GU2,0.883
6GU6,6GU3,0.757
6GU6,6GU4,0.497
6GU6,6GU7,0.745
6GU7,4Y72,0.743
6GU7,5HQ0,0.743
6GU7,5LQF,0.762
6GU7,6GU2,0.599
6GU7,6GU3,0.714
6GU7,6GU4,0.713
6GU7,6GU6,0.745
