strategy,size,ensemble_id,pdb_ids,bfibs_values
bfactor_guided,2,0,3QXO;3PXY,0.993;0.985
bfactor_guided,3,0,3QXO;3PXY;3QQJ,0.993;0.985;1.018
bfactor_guided,5,0,3QXO;3PXY;3QQJ;3PY0;5MHQ,0.993;0.985;1.018;1.018;0.981
random,2,0,3ROY;3R8M,0.968;1.052
random,2,1,3PXF;3QWJ,1.087;0.941
random,2,2,3QWK;3PXY,0.973;0.985
random,2,3,3R6X;3QWK,0.895;0.973
random,2,4,3QQJ;3R28,1.018;0.865
random,2,5,3R7U;3R6X,0.931;0.895
random,2,6,3QRT;3QQJ,0.841;1.018
random,2,7,3R6X;3RAI,0.895;0.874
random,2,8,3PXF;3QQJ,1.087;1.018
random,2,9,3QQJ;3RM6,1.018;0.866
random,2,10,3R28;5MHQ,0.865;0.981
random,2,11,3QWK;3R1S,0.973;0.947
random,2,12,3R6X;3ROY,0.895;0.968
random,2,13,3RPO;3R8P,0.960;0.934
random,2,14,3R8M;3QWJ,1.052;0.941
random,2,15,3QXO;3R28,0.993;0.865
random,2,16,3PXF;3QZG,1.087;1.043
random,2,17,3R8M;3QWJ,1.052;0.941
random,2,18,3R8P;3R8M,0.934;1.052
random,2,19,3R1Y;3PXF,0.880;1.087
random,3,0,3QQL;3RM6;3R7U,0.948;0.866;0.931
random,3,1,3PY0;3R7U;3QWK,1.018;0.931;0.973
random,3,2,3R71;3QRT;3QQJ,0.841;0.841;1.018
random,3,3,3ROY;3QXO;3R83,0.968;0.993;0.849
random,3,4,3ROY;3QZI;3QWK,0.968;0.870;0.973
random,3,5,3QX2;3QWK;3QQJ,0.914;0.973;1.018
random,3,6,3R1S;3R6X;5MHQ,0.947;0.895;0.981
random,3,7,5MHQ;3QQL;3R8M,0.981;0.948;1.052
random,3,8,3RAI;3PXF;3R8P,0.874;1.087;0.934
random,3,9,3QXO;3R73;3ROY,0.993;0.869;0.968
random,3,10,3RM6;3QZI;3PXZ,0.866;0.870;1.185
random,3,11,3QRT;3R8P;3R1Y,0.841;0.934;0.880
random,3,12,3QQL;3QWJ;3QRT,0.948;0.941;0.841
random,3,13,3QWK;3R1Q;3QZG,0.973;0.922;1.043
random,3,14,3QZG;5MHQ;3RM6,1.043;0.981;0.866
random,3,15,3R1Y;3QX2;3R1Q,0.880;0.914;0.922
random,3,16,3R28;3RM6;3QZI,0.865;0.866;0.870
random,3,17,3QQF;3QQJ;3R1Y,0.946;1.018;0.880
random,3,18,3QX2;5MHQ;3R73,0.914;0.981;0.869
random,3,19,3R1S;3RM6;3PXF,0.947;0.866;1.087
random,5,0,3R28;3PXF;3RAI;3QRT;3R7U,0.865;1.087;0.874;0.841;0.931
random,5,1,3QQJ;3QWJ;3R7U;3ROY;3PXY,1.018;0.941;0.931;0.968;0.985
random,5,2,3R7U;3R73;3QWK;3RAI;3PY0,0.931;0.869;0.973;0.874;1.018
random,5,3,3QZI;3R8M;3RPO;3R1Y;3QWJ,0.870;1.052;0.960;0.880;0.941
random,5,4,3PXZ;3R28;5MHQ;3R8M;3QXO,1.185;0.865;0.981;1.052;0.993
random,5,5,3QZG;5MHQ;3R71;3PXZ;3QX2,1.043;0.981;0.841;1.185;0.914
random,5,6,3R1Y;3R8P;3PXZ;3R8M;3R83,0.880;0.934;1.185;1.052;0.849
random,5,7,3QX2;3PXZ;3PXF;3R7U;3QRT,0.914;1.185;1.087;0.931;0.841
random,5,8,3R28;3R1S;3PXY;3R73;3RAI,0.865;0.947;0.985;0.869;0.874
random,5,9,3RPO;3QQF;3QZG;3R73;3R8P,0.960;0.946;1.043;0.869;0.934
random,5,10,3PXF;3PY0;3R8M;3QWK;3QQJ,1.087;1.018;1.052;0.973;1.018
random,5,11,3PXZ;3PY0;3QQJ;3RM6;3R8P,1.185;1.018;1.018;0.866;0.934
random,5,12,3R6X;3R83;3QWK;3QX2;3QZI,0.895;0.849;0.973;0.914;0.870
random,5,13,3R8P;3PXY;3R7U;3PY0;3R1Q,0.934;0.985;0.931;1.018;0.922
random,5,14,3R6X;3R73;3QQL;3R1S;3R8P,0.895;0.869;0.948;0.947;0.934
random,5,15,3R73;3R8P;3R1Y;3RAI;3R71,0.869;0.934;0.880;0.874;0.841
random,5,16,3PXY;3QWJ;3QQL;3R8M;3R1S,0.985;0.941;0.948;1.052;0.947
random,5,17,3QZG;3QWJ;3R71;3R6X;3PXZ,1.043;0.941;0.841;0.895;1.185
random,5,18,3QQL;3R6X;3QXO;3R1S;3QWJ,0.948;0.895;0.993;0.947;0.941
random,5,19,3QWK;3R83;3QX2;3RAI;3R28,0.973;0.849;0.914;0.874;0.865
lowest_bfactor,2,0,3R71;3QRT,0.841;0.841
lowest_bfactor,3,0,3R71;3QRT;3R83,0.841;0.841;0.849
lowest_bfactor,5,0,3R71;3QRT;3R83;3R28;3RM6,0.841;0.841;0.849;0.865;0.866
enopt,2,0,3PXY;3PXZ,0.985;1.185
enopt,3,0,3PXY;3PXZ;3PY0,0.985;1.185;1.018
enopt,5,0,3PXY;3PXZ;3PY0;3RPO;5MHQ,0.985;1.185;1.018;0.960;0.981
