receptor,ligand_from,rmsd,affinity,status
3PXF,3PXF,1.095,-9.651,success
3PXY,3PXY,0.343,-9.008,success
3PXZ,3PXZ,1.054,-9.609,success
3PY0,3PY0,0.416,-8.703,success
3QQF,3QQF,1.432,-8.096,success
3QQJ,3QQJ,0.043,-8.692,success
3QQL,3QQL,,,vina_failed
3QRT,3QRT,1.228,-9.196,success
3QWJ,3QWJ,1.956,-7.969,success
3QWK,3QWK,1.034,-7.651,success
3QX2,3QX2,1.602,-7.593,success
3QXO,3QXO,2.207,-8.212,high_rmsd
3QZG,3QZG,0.621,-8.09,success
3QZI,3QZI,1.838,-7.54,success
3R1Q,3R1Q,1.432,-8.083,success
3R1S,3R1S,1.377,-8.257,success
3R1Y,3R1Y,1.002,-7.086,success
3R28,3R28,1.424,-9.073,success
3R6X,3R6X,1.183,-7.857,success
3R71,3R71,1.588,-7.588,success
3R73,3R73,2.11,-7.874,high_rmsd
3R7U,3R7U,1.361,-8.211,success
3R83,3R83,1.843,-8.549,success
3R8M,3R8M,0.465,-7.554,success
3R8P,3R8P,1.024,-7.907,success
3RAI,3RAI,2.848,-7.96,high_rmsd
3RM6,3RM6,1.865,-8.625,success
3ROY,3ROY,1.299,-8.058,success
3RPO,3RPO,1.995,-8.203,success
5MHQ,5MHQ,2.358,-9.174,high_rmsd
