pdb_id,bfibs,median_pocket_bfactor,median_protein_bfactor,mean_pocket_bfactor,num_pocket_residues
1A0J,0.8433155080213904,15.77,18.7,19.109421841541756,934
1AKS,1.289730349971314,22.48,17.43,23.301125,80
1AVW,0.8262476894639555,17.88,21.64,19.27986842105263,76
1AVX,0.7247485789243551,16.575,22.869999999999997,17.698552631578945,76
1BIT,0.84227240649259,11.935,14.17,13.68195035460993,282
1EPT,2.7925,5.585,2.0,12.298555555555557,90
1F2S,1.2850898494414764,26.46,20.59,28.14191780821918,73
1HJ8,0.9367977528089887,10.004999999999999,10.68,11.356383928571429,448
1MBQ,0.7920833333333333,9.504999999999999,12.0,10.64265625,192
1MCT,1.1919378698224854,16.115000000000002,13.52,19.834875,80
1PPZ,0.8912972085385877,13.57,15.225000000000001,15.290543933054392,239
1PQA,0.9253350350989151,14.5,15.67,16.608211678832117,274
1SGT,0.797038864898211,12.92,16.21,15.374255319148935,47
1TPO,1.0782664941785254,16.67,15.46,17.76191780821918,73
1TRY,0.9000696378830084,12.925,14.36,14.714855072463768,138
1TX6,1.0342014882655983,36.135000000000005,34.94,35.946801470588234,272
1UHB,1.2900335946248602,17.28,13.395,26.154230769230768,104
1UTJ,0.7902374670184696,5.99,7.58,6.555384615384615,195
1UTM,0.9292035398230087,12.6,13.56,12.4392972972973,185
1XVO,1.0361635220125784,6.59,6.36,7.877191489361703,235
1YF4,0.9725085910652921,14.15,14.55,15.866694214876032,121
2A31,1.1035673187571922,9.59,8.69,11.294664536741214,626
2FPZ,0.8804563492063492,17.75,20.16,19.2845295404814,457
3PTB,0.9672742336371168,11.675,12.07,11.830157894736839,190
5PTP,0.8518225039619652,10.75,12.62,11.75005319148936,188
6DWH,0.883112582781457,26.67,30.2,29.373234501347714,371
7JR1,1.022722534917657,49.06,47.97,52.23150103519669,966
7JR2,1.1014625228519197,24.1,21.88,27.682858683926646,927
