,AUROC,PRAUC,BEDROC,Enrichment Factor
1A0J,0.7600000000000001,0.8499999999999999,0.9190508112889832,2.0
1BIT,0.44,0.5333333333333333,0.5393842597944746,1.0
1HJ8,0.42,0.48333333333333334,0.5393842597944746,1.0
1MBQ,0.52,0.4766666666666666,0.4661643754039953,1.0
1PPZ,0.39999999999999997,0.4033333333333333,0.36815226768574694,1.0
1PQA,0.43999999999999995,0.5533333333333333,0.5518978300369795,1.0
1TRY,0.36,0.36666666666666664,0.26905863801535473,0.0
1UTJ,0.7200000000000002,0.7916666666666665,0.8514545964934792,2.0
1UTM,0.4,0.3833333333333333,0.355638697443242,1.0
2A31,0.54,0.6166666666666667,0.6649926919879764,1.0
2FPZ,0.7200000000000002,0.7916666666666665,0.8514545964934792,2.0
3PTB,0.48000000000000004,0.4433333333333333,0.3985681606084915,1.0
5PTP,0.52,0.5933333333333333,0.5823137229597241,1.0
